solver_key,solver,ensemble_size,solve_time_ms
modax kencarp5 array fp64,modax kencarp5 array fp64,3,81.06134494300932
modax kencarp5 array fp64,modax kencarp5 array fp64,10,109.13761903066188
modax kencarp5 array fp64,modax kencarp5 array fp64,30,113.74489893205464
modax kencarp5 array fp64,modax kencarp5 array fp64,100,123.95048304460943
modax kencarp5 array fp64,modax kencarp5 array fp64,300,218.160389107652
modax kencarp5 array fp64,modax kencarp5 array fp64,1000,422.828468028456
modax kencarp5 array fp64,modax kencarp5 array fp64,3000,1137.5521110603586
modax kencarp5 array fp64,modax kencarp5 array fp64,10000,3508.504629950039
modax kencarp5 array fp64,modax kencarp5 array fp64,30000,11069.557188078761
modax kencarp5 array fp32,modax kencarp5 array fp32,3,52.128542913123965
modax kencarp5 array fp32,modax kencarp5 array fp32,10,64.59045596420765
modax kencarp5 array fp32,modax kencarp5 array fp32,30,68.89096705708653
modax kencarp5 array fp32,modax kencarp5 array fp32,100,80.85103204939514
modax kencarp5 array fp32,modax kencarp5 array fp32,300,108.333008014597
modax kencarp5 array fp32,modax kencarp5 array fp32,1000,165.74828699231148
modax kencarp5 array fp32,modax kencarp5 array fp32,3000,415.28131207451224
modax kencarp5 array fp32,modax kencarp5 array fp32,10000,1107.6156710041687
modax kencarp5 array fp32,modax kencarp5 array fp32,30000,3657.5123911025003
modax kencarp5 kernel fp64,modax kencarp5 kernel fp64,3,25.841132970526814
modax kencarp5 kernel fp64,modax kencarp5 kernel fp64,10,27.5208160164766
modax kencarp5 kernel fp64,modax kencarp5 kernel fp64,30,27.85335498629138
modax kencarp5 kernel fp64,modax kencarp5 kernel fp64,100,33.690075972117484
modax kencarp5 kernel fp64,modax kencarp5 kernel fp64,300,92.07866701763123
modax kencarp5 kernel fp64,modax kencarp5 kernel fp64,1000,269.9033410171978
modax kencarp5 kernel fp64,modax kencarp5 kernel fp64,3000,798.2037519686855
modax kencarp5 kernel fp64,modax kencarp5 kernel fp64,10000,2624.095045030117
modax kencarp5 kernel fp64,modax kencarp5 kernel fp64,30000,7849.787837010808
modax kencarp5 kernel fp32,modax kencarp5 kernel fp32,3,20.107913005631417
modax kencarp5 kernel fp32,modax kencarp5 kernel fp32,10,22.18709501903504
modax kencarp5 kernel fp32,modax kencarp5 kernel fp32,30,21.774715976789594
modax kencarp5 kernel fp32,modax kencarp5 kernel fp32,100,26.812516036443412
modax kencarp5 kernel fp32,modax kencarp5 kernel fp32,300,55.63412996707484
modax kencarp5 kernel fp32,modax kencarp5 kernel fp32,1000,135.98146598087624
modax kencarp5 kernel fp32,modax kencarp5 kernel fp32,3000,366.95458099711686
modax kencarp5 kernel fp32,modax kencarp5 kernel fp32,10000,1177.2505610133521
modax kencarp5 kernel fp32,modax kencarp5 kernel fp32,30000,3531.1826030374505
modax rodas5P array fp32,modax rodas5P array fp32,3,16.833773930557072
modax rodas5P array fp32,modax rodas5P array fp32,10,20.844483049586415
modax rodas5P array fp32,modax rodas5P array fp32,30,24.076784029603004
modax rodas5P array fp32,modax rodas5P array fp32,100,36.62251005880535
modax rodas5P array fp32,modax rodas5P array fp32,300,69.35460900422186
modax rodas5P array fp32,modax rodas5P array fp32,1000,176.03166797198355
modax rodas5P array fp32,modax rodas5P array fp32,3000,738.0139760207385
modax rodas5P array fp32,modax rodas5P array fp32,10000,1977.9033749364316
modax rodas5P array fp32,modax rodas5P array fp32,30000,4249.084460083395
modax rodas5P kernel fp32,modax rodas5P kernel fp32,3,13.591693015769124
modax rodas5P kernel fp32,modax rodas5P kernel fp32,10,14.861998963169754
modax rodas5P kernel fp32,modax rodas5P kernel fp32,30,14.88476904341951
modax rodas5P kernel fp32,modax rodas5P kernel fp32,100,19.23330599674955
modax rodas5P kernel fp32,modax rodas5P kernel fp32,300,39.39726500539109
modax rodas5P kernel fp32,modax rodas5P kernel fp32,1000,95.57175601366907
modax rodas5P kernel fp32,modax rodas5P kernel fp32,3000,263.0124220158905
modax rodas5P kernel fp32,modax rodas5P kernel fp32,10000,842.1111300121993
modax rodas5P kernel fp32,modax rodas5P kernel fp32,30000,2511.090626998339
diffrax kencarp5,diffrax kencarp5,3,42.99222631379962
diffrax kencarp5,diffrax kencarp5,10,57.76134133338928
diffrax kencarp5,diffrax kencarp5,30,67.01047206297517
diffrax kencarp5,diffrax kencarp5,100,77.91990274563432
diffrax kencarp5,diffrax kencarp5,300,144.50996601954103
diffrax kencarp5,diffrax kencarp5,1000,317.7897990681231
diffrax kencarp5,diffrax kencarp5,3000,903.384649194777
diffrax kencarp5,diffrax kencarp5,10000,2914.059127215296
diffrax kencarp5,diffrax kencarp5,30000,9430.4422121495
julia kencarp5 array,julia kencarp5 array,3,109.010969
julia kencarp5 array,julia kencarp5 array,10,142.324916
julia kencarp5 array,julia kencarp5 array,30,195.858417
julia kencarp5 array,julia kencarp5 array,100,274.78686600000003
julia kencarp5 array,julia kencarp5 array,300,635.645922
julia kencarp5 array,julia kencarp5 array,1000,724.2830759999999
julia kencarp5 array,julia kencarp5 array,3000,1459.249144
julia kencarp5 array,julia kencarp5 array,10000,7853.773722999999
julia kencarp5 array,julia kencarp5 array,30000,
