solver_key,solver,ensemble_size,solve_time_ms
local_tsit5,my tsit5,3,22.814761707559228
local_tsit5,my tsit5,10,22.242901287972927
local_tsit5,my tsit5,30,22.31952860020101
local_tsit5,my tsit5,100,22.26999020203948
local_tsit5,my tsit5,300,22.29436410125345
local_tsit5,my tsit5,1000,22.312016994692385
local_tsit5,my tsit5,3000,29.267989983782172
local_tsit5,my tsit5,10000,40.85963780526072
local_tsit5,my tsit5,30000,76.02185129653662
local_tsit5,my tsit5,100000,193.84185690432787
tsit5ckn,numba-cuda tsit5,3,4.6876139007508755
tsit5ckn,numba-cuda tsit5,10,4.695150908082724
tsit5ckn,numba-cuda tsit5,30,4.801921802572906
tsit5ckn,numba-cuda tsit5,100,6.893783598206937
tsit5ckn,numba-cuda tsit5,300,6.583916093222797
tsit5ckn,numba-cuda tsit5,1000,6.1706217005848885
tsit5ckn,numba-cuda tsit5,3000,6.229019584134221
tsit5ckn,numba-cuda tsit5,10000,11.950696003623307
tsit5ckn,numba-cuda tsit5,30000,29.246368794701993
tsit5ckn,numba-cuda tsit5,100000,81.42879579681903
diffrax_tsit5,diffrax tsit5,3,84.86134388949722
diffrax_tsit5,diffrax tsit5,10,82.01917728874832
diffrax_tsit5,diffrax tsit5,30,82.62379139196128
diffrax_tsit5,diffrax tsit5,100,106.45019931253046
diffrax_tsit5,diffrax tsit5,300,109.73273529671133
diffrax_tsit5,diffrax tsit5,1000,112.07873588427901
diffrax_tsit5,diffrax tsit5,3000,123.72008520178497
diffrax_tsit5,diffrax tsit5,10000,137.22748530562967
diffrax_tsit5,diffrax tsit5,30000,195.46450080815703
diffrax_tsit5,diffrax tsit5,100000,452.3716089082882
julia_tsit5_EnsembleGPUArray,julia tsit5 array,3,69.556467
julia_tsit5_EnsembleGPUArray,julia tsit5 array,10,86.043077
julia_tsit5_EnsembleGPUArray,julia tsit5 array,30,71.86915300000001
julia_tsit5_EnsembleGPUArray,julia tsit5 array,100,69.537974
julia_tsit5_EnsembleGPUArray,julia tsit5 array,300,78.57636799999999
julia_tsit5_EnsembleGPUArray,julia tsit5 array,1000,83.023906
julia_tsit5_EnsembleGPUArray,julia tsit5 array,3000,130.556013
julia_tsit5_EnsembleGPUArray,julia tsit5 array,10000,253.615721
julia_tsit5_EnsembleGPUArray,julia tsit5 array,30000,2022.450728
julia_tsit5_EnsembleGPUArray,julia tsit5 array,100000,27927.401308
julia_tsit5_EnsembleGPUKernel,julia tsit5 kernel,3,4.834439000000001
julia_tsit5_EnsembleGPUKernel,julia tsit5 kernel,10,4.848659
julia_tsit5_EnsembleGPUKernel,julia tsit5 kernel,30,4.88604
julia_tsit5_EnsembleGPUKernel,julia tsit5 kernel,100,6.174139
julia_tsit5_EnsembleGPUKernel,julia tsit5 kernel,300,5.406974999999999
julia_tsit5_EnsembleGPUKernel,julia tsit5 kernel,1000,6.600535
julia_tsit5_EnsembleGPUKernel,julia tsit5 kernel,3000,10.955021
julia_tsit5_EnsembleGPUKernel,julia tsit5 kernel,10000,33.132152999999995
julia_tsit5_EnsembleGPUKernel,julia tsit5 kernel,30000,141.187227
julia_tsit5_EnsembleGPUKernel,julia tsit5 kernel,100000,318.592288
