solver_key,solver,ensemble_size,solve_time_ms
modax rodas5P array fp32,modax rodas5P array fp32,1,19.475450972095132
modax rodas5P array fp32,modax rodas5P array fp32,3,22.46784802991897
modax rodas5P array fp32,modax rodas5P array fp32,10,23.13649805728346
modax rodas5P array fp32,modax rodas5P array fp32,30,24.84365599229932
modax rodas5P array fp32,modax rodas5P array fp32,100,26.069023995660245
modax rodas5P array fp32,modax rodas5P array fp32,300,26.285464060492814
modax rodas5P array fp32,modax rodas5P array fp32,1000,26.854622992686927
modax rodas5P array fp32,modax rodas5P array fp32,3000,31.982167973183095
modax rodas5P array fp32,modax rodas5P array fp32,10000,43.86014700867236
modax rodas5P array fp32,modax rodas5P array fp32,30000,87.54062198568135
modax rodas5P array fp32,modax rodas5P array fp32,100000,207.946892012842
modax rodas5P array fp64,modax rodas5P array fp64,1,21.954708034172654
modax rodas5P array fp64,modax rodas5P array fp64,3,21.86826802790165
modax rodas5P array fp64,modax rodas5P array fp64,10,23.06412602774799
modax rodas5P array fp64,modax rodas5P array fp64,30,25.980163947679102
modax rodas5P array fp64,modax rodas5P array fp64,100,27.036512037739158
modax rodas5P array fp64,modax rodas5P array fp64,300,27.179523021914065
modax rodas5P array fp64,modax rodas5P array fp64,1000,27.47847104910761
modax rodas5P array fp64,modax rodas5P array fp64,3000,33.47402601502836
modax rodas5P array fp64,modax rodas5P array fp64,10000,55.441253003664315
modax rodas5P array fp64,modax rodas5P array fp64,30000,109.15445699356496
modax rodas5P array fp64,modax rodas5P array fp64,100000,307.6028299983591
modax rodas5P kernel fp32,modax rodas5P kernel fp32,1,4.700104997027665
modax rodas5P kernel fp32,modax rodas5P kernel fp32,3,4.873442987445742
modax rodas5P kernel fp32,modax rodas5P kernel fp32,10,4.947543027810752
modax rodas5P kernel fp32,modax rodas5P kernel fp32,30,5.179162020795047
modax rodas5P kernel fp32,modax rodas5P kernel fp32,100,4.9468729994259775
modax rodas5P kernel fp32,modax rodas5P kernel fp32,300,5.453321966342628
modax rodas5P kernel fp32,modax rodas5P kernel fp32,1000,5.186561960726976
modax rodas5P kernel fp32,modax rodas5P kernel fp32,3000,5.158571992069483
modax rodas5P kernel fp32,modax rodas5P kernel fp32,10000,5.821669998113066
modax rodas5P kernel fp32,modax rodas5P kernel fp32,30000,15.279956976883113
modax rodas5P kernel fp32,modax rodas5P kernel fp32,100000,41.428139025811106
modax rodas5P kernel fp64,modax rodas5P kernel fp64,1,4.924903973005712
modax rodas5P kernel fp64,modax rodas5P kernel fp64,3,4.877933009993285
modax rodas5P kernel fp64,modax rodas5P kernel fp64,10,5.188452021684498
modax rodas5P kernel fp64,modax rodas5P kernel fp64,30,5.254941992461681
modax rodas5P kernel fp64,modax rodas5P kernel fp64,100,5.274101975373924
modax rodas5P kernel fp64,modax rodas5P kernel fp64,300,5.511500989086926
modax rodas5P kernel fp64,modax rodas5P kernel fp64,1000,5.434931023046374
modax rodas5P kernel fp64,modax rodas5P kernel fp64,3000,5.842889950145036
modax rodas5P kernel fp64,modax rodas5P kernel fp64,10000,6.588287011254579
modax rodas5P kernel fp64,modax rodas5P kernel fp64,30000,17.23878097254783
modax rodas5P kernel fp64,modax rodas5P kernel fp64,100000,52.58629203308374
diffrax kvaerno5,diffrax kvaerno5,1,802.134320139885
diffrax kvaerno5,diffrax kvaerno5,3,849.1917350329459
diffrax kvaerno5,diffrax kvaerno5,10,852.646338287741
diffrax kvaerno5,diffrax kvaerno5,30,887.9119157791138
diffrax kvaerno5,diffrax kvaerno5,100,925.4366182722151
diffrax kvaerno5,diffrax kvaerno5,300,933.6797213181853
diffrax kvaerno5,diffrax kvaerno5,1000,937.4588341452181
diffrax kvaerno5,diffrax kvaerno5,3000,975.678120739758
diffrax kvaerno5,diffrax kvaerno5,10000,1227.1212739869952
diffrax kvaerno5,diffrax kvaerno5,30000,1974.4706428609788
diffrax kvaerno5,diffrax kvaerno5,100000,4501.086622942239
julia rodas5P array,julia rodas5P array,3,144.246691
julia rodas5P array,julia rodas5P array,10,143.792058
julia rodas5P array,julia rodas5P array,30,143.758364
julia rodas5P array,julia rodas5P array,100,146.45535800000002
julia rodas5P array,julia rodas5P array,300,154.188252
julia rodas5P array,julia rodas5P array,1000,152.477953
julia rodas5P array,julia rodas5P array,3000,219.42352400000001
julia rodas5P array,julia rodas5P array,10000,373.093505
julia rodas5P array,julia rodas5P array,30000,
julia rodas5P array,julia rodas5P array,100000,
julia rodas5P kernel,julia rodas5P kernel,1,
julia rodas5P kernel,julia rodas5P kernel,3,4.7607099999999996
julia rodas5P kernel,julia rodas5P kernel,10,4.78293
julia rodas5P kernel,julia rodas5P kernel,30,4.82915
julia rodas5P kernel,julia rodas5P kernel,100,5.612998
julia rodas5P kernel,julia rodas5P kernel,300,8.422201000000001
julia rodas5P kernel,julia rodas5P kernel,1000,13.493909
julia rodas5P kernel,julia rodas5P kernel,3000,20.298043000000003
julia rodas5P kernel,julia rodas5P kernel,10000,46.380461
julia rodas5P kernel,julia rodas5P kernel,30000,137.18409300000002
julia rodas5P kernel,julia rodas5P kernel,100000,451.304617
