gpu,solver_key,solver,divergence,dim,ensemble_size,solve_time_ms,mean_steps,step_std,step_cv,normalized_solve_time_ms_per_step,step_variance,min_steps,max_steps,rejected_steps_mean
NVIDIA GeForce RTX 4070 SUPER,tsit5,JAX Tsit5,0.0,3,1000,27.202548598870635,712.0,0.0,0.0,0.03820582668380707,0.0,712,712,99.0
NVIDIA GeForce RTX 4070 SUPER,tsit5,JAX Tsit5,0.1,3,1000,23.04895198903978,693.605,16.8273626910201,0.024260728643853632,0.03323066008612939,283.1601351351352,660,724,100.512
NVIDIA GeForce RTX 4070 SUPER,tsit5,JAX Tsit5,0.2,3,1000,23.03149402141571,663.397,35.123026891457094,0.052944205191547584,0.0347175130749999,1233.6270180180181,591,724,95.0
NVIDIA GeForce RTX 4070 SUPER,tsit5,JAX Tsit5,0.30000000000000004,3,1000,23.024304024875164,633.498,52.76783528287323,0.08329597770296548,0.03634471462400065,2784.4444404404408,541,724,89.769
NVIDIA GeForce RTX 4070 SUPER,tsit5,JAX Tsit5,0.4,3,1000,22.933433623984456,603.312,70.31047018914194,0.11654081170131199,0.03801256004187627,4943.562218218218,463,724,84.59
NVIDIA GeForce RTX 4070 SUPER,tsit5,JAX Tsit5,0.5,3,1000,22.94864561408758,573.064,88.56655089783015,0.1545491444198731,0.04004551954770773,7844.033937937938,421,723,79.428
NVIDIA GeForce RTX 4070 SUPER,tsit5,JAX Tsit5,0.6000000000000001,3,1000,22.897849418222904,542.178,107.43878912855175,0.19816146934872264,0.04223308474010916,11543.093409409408,347,723,74.045
NVIDIA GeForce RTX 4070 SUPER,tsit5,JAX Tsit5,0.7000000000000001,3,1000,22.87902939133346,511.552,125.68515446962722,0.24569379939796387,0.04472473842607098,15796.758054054055,290,723,69.23
NVIDIA GeForce RTX 4070 SUPER,tsit5,JAX Tsit5,0.8,3,1000,23.268554406240582,480.068,144.970444594082,0.30197897921561534,0.0484692885304594,21016.429805805805,222,724,64.193
NVIDIA GeForce RTX 4070 SUPER,tsit5,JAX Tsit5,0.9,3,1000,23.281524423509836,447.988,164.91641907730497,0.36812686741007566,0.05196908047427573,27197.42528128128,155,725,59.115
